,Sentences
23113,19–4.
23114,"To solve this problem we make, first, the following observation."
23115,"Then, to find the amplitude for a decay at the arbitrary angle of Fig."
23116,"19–4, all we need to know is what amplitude the given initial state has zero angular momentum about the decay direction."
23117,This latter amplitude is just what we have written in (19.31).
23118,From Table 17–2 we know the necessary amplitudes.
23119,Amplitudes such as the ones in (19.36) appear so often and are sufficiently important that they are given several names.
23120,"If you are going to understand what other physicists are talking about, you will just have to memorize the language."
23121,In Table 19–1 we give a dictionary of orbital angular momentum.
23122,The letters don’t mean anything.
23123,"(They did once mean something—they meant “sharp” lines, “principal” lines, “diffuse” lines and “fundamental” lines of the optical spectra of atoms."
23124,But those were in the days when people did not know where the lines came from.
23125,The angular functions in the table go by several names—and are sometimes defined with slightly different conventions about the numerical factors that appear out in front.
23126,"As we have seen, these angular distributions may refer to a nuclear disintegration or some other process, or to the distribution of the amplitude to find an electron at some place in the hydrogen atom."
23127,That’s interesting.
23128,In Eq.
23129,Let’s see what that means.
23130,This must also be true for the right-hand side.
23131,It must be some constant.
23132,Now look at what we’ve done.
23133,From Eq.
23134,Let’s rewrite (19.41) in the form we had in Eq.
23135,"Although we got this term by some mathematical shenanigan, it has a simple physical origin."
23136,We can give you an idea about where it comes from in terms of a semi-classical argument.
23137,Then perhaps you will not find it quite so mysterious.
23138,Think of a classical particle moving around some center of force.
23139,But this is almost exactly the extra term in (19.46).
23140,"But we have seen before (for example, Volume II, Section 34-7) that this is just the substitution that is usually required to make a quasi-classical argument agree with a correct quantum-mechanical calculation."
23141,"We can, then, understand the new term as a “pseudo-potential” which gives the “centrifugal force” term that appears in the equations of radial motion for a rotating system."
23142,"(See the discussion of “pseudo-forces” in Volume I, Section 12-5.)"
23143,We are now ready to solve Eq.
23144,It is very much like Eq.
23145,"(19.8), so the same technique will work again."
23146,Everything goes as before until you get to Eq.
23147,Instead of Eq.
23148,This condition replaces Eq.
23149,As before the series must terminate if we are to have solutions which can represent bound electrons.
23150,"However, Eq."
23151,(19.50) also gives a new restriction.
23152,"We have, finally, a complete description of the states of a hydrogen atom."
23153,Let’s review what we have discovered.
23154,"It is a “nondegenerate” state—there is only one with this energy, and its wave function is spherically symmetric."
23155,"The amplitude to find the electron is a maximum at the center, and falls off monotonically with increasing distance from the center."
23156,We can visualize the electron amplitude as a blob as shown in Fig.
23157,19–6(a).
23158,19–6(b).
23159,"(The dark areas indicate regions where the amplitude is large, and the plus and minus signs indicate the relative phases of the amplitude.)"
23160,19–7.
23161,The energy levels are as shown in Fig.
23162,19–7.
23163,The angular dependences of these states are given in Table 19–1.
23164,19–6(d).
23165,No.
23166,"But since we have three states with equal energies, any linear combinations of the three will also be stationary states of the same energy."
23167,The levels go as shown in Fig.
23168,19–7.
23169,The angular dependences get more complicated.
23170,The rough form of the amplitude is sketched in (e) and (f) of Fig.
23171,We will not try to describe any more of the possible states.
23172,You will find the hydrogen wave functions described in more detail in many books.
23173,"Two good references are L. Pauling and E. B. Wilson, Introduction to Quantum Mechanics, McGraw-Hill (1935); and R. B. Leighton, Principles of Modern Physics, McGraw-Hill (1959)."
23174,You will find in them graphs of some of the functions and pictorial representations of many states.
23175,"That is not surprising, since it’s hard for an electron to have angular momentum when its radius arm is very small."
23176,We would like now to apply the theory of the hydrogen atom in an approximate way to get some understanding of the chemist’s periodic table of the elements.
23177,(We are again neglecting the spin of the electrons.)
23178,"No one has found an analytic solution, although solutions for the lowest energy states have been obtained by numerical methods."
23179,"It is possible, however, even with a sloppy approximation—and some fixing—to understand, at least qualitatively, many chemical properties which show up in the periodic table."
23180,The chemical properties of atoms are determined primarily by their lowest energy states.
23181,We can use the following approximate theory to find these states and their energies.
23182,"First, we neglect the electron spin, except that we adopt the exclusion principle and say that any particular electronic state can be occupied by only one electron."
23183,"This means that any particular orbital configuration can have up to two electrons—one with spin up, the other with spin down."
23184,"Next we disregard the details of the interactions between the electrons in our first approximation, and say that each electron moves in a central field which is the combined field of the nucleus and all the other electrons."
23185,In this model each electron acts like an independent particle.
23186,The angular dependence of its wave function will be just the same as the ones we had for the hydrogen atom.
23187,The energies of the states will also be somewhat different.
23188,"With these ideas, let’s see what we get."
23189,"A large ionization energy means that it is harder to pull the electron off and, in general, that the material is chemically less active."
23190,Now take helium.
23191,Both electrons can be in the same lowest state (one spin up and the other spin down).
23192,Helium is chemically inert.
23193,"The electron states will again be hydrogen-like, and the three electrons will occupy the lowest three energy levels."
23194,"In hydrogen these states have the same energy, but in other atoms they don’t, for the following reason."
23195,The energy levels will be roughly as shown in Fig.
23196,19–8—which you should compare with the corresponding diagram for hydrogen in Fig.
23197,19–7.
23198,These all have the same energy—except for some very small effects we are neglecting.
23199,This takes us to neon.
23200,Neon does not easily give up an electron.
23201,"Also there are no more low-energy slots to be filled, so it won’t try to grab an extra electron."
23202,Neon is chemically inert.
23203,"Fluorine, on the other hand, does have an empty position where an electron can drop into a state of low energy, so it is quite active in chemical reactions."
23204,The energy level of this state is much higher; the ionization energy jumps down; and sodium is an active chemical.
23205,"Angular configurations of the electrons in the outer unfilled shell have the same sequence, and the progression of ionization energies is quite similar."
23206,You can see why the chemical properties repeat with increasing atomic number.
23207,"Magnesium acts chemically much like beryllium, silicon like carbon, and chlorine like fluorine."
23208,Argon is inert like neon.
23209,"You may have noticed that there is a slight peculiarity in the sequence of ionization energies between lithium and neon, and a similar one between sodium and argon."
23210,The last electron is bound to the oxygen atom somewhat less than we might expect.
23211,And sulfur is similar.
23212,Why should that be?
23213,We can understand it if we put in just a little bit of the effects of the interactions between individual electrons.
23214,Now what will happen in carbon?
23215,"For oxygen, however, the jig is up."
23216,The fourth electron must go into one of the filled states—with opposite spin.
23217,"It is strongly repelled by the electron already in that state, so its energy will not be as low as it might otherwise be, and it is more easily removed."
23218,"That explains the break in the sequence of binding energies which appears between nitrogen and oxygen, and between phosphorus and sulfur."
23219,But they don’t.
23220,As we described earlier—and illustrated in Fig.
23221,19–8—the higher angular momentum states get pushed up in energy.
23222,"Since the outermost shell of manganese, iron, cobalt, and nickel have the same configurations, however, they all tend to have similar chemical properties."
23223,(This effect is much more pronounced in the rare-earth elements which all have the same outer shell but a progressively filling inner shell which has much less influence on their chemical properties.)
23224,"Similar things happen at other places and account for the fact that other metals, such as iron, combine chemically with either of two valences."
23225,"The outer shells, the energies, and the chemical properties repeat the pattern of boron to neon and aluminum to argon."
23226,"Krypton, like argon and neon, is known as “noble” gas."
23227,"All three are chemically “inert.” This means only that, having filled shells of relatively low energy, there are few situations in which there is an energy advantage for them to join in a simple combination with other elements."
23228,Having a filled shell is not enough.
23229,"On the other hand, krypton is not completely inert; it will form a weakly-bound compound with chlorine."
23230,We would like to bring up only one more point—that we not only can understand the valences to some extent but also can say something about the directional properties of the chemical bonds.
23231,"Each of the two hydrogens are willing to share an electron with the oxygen, helping the oxygen to fill a shell."
23232,So the water molecule should have the two hydrogen atoms making a right angle with respect to the center of the oxygen.
23233,In sharing their electrons the hydrogens end up with a net positive charge.
23234,The three hydrogens should join on at right angles to each other.
23235,And the nonflatness is what makes the ammonia maser possible.
23236,Now we see that also that shape can be understood from our quantum mechanics.
23237,The Schrödinger equation has been one of the great triumphs of physics.
23238,"By providing the key to the underlying machinery of atomic structure it has given an explanation for atomic spectra, for chemistry, and for the nature of matter."
23239,"All the things we have done so far in quantum mechanics could be handled with ordinary algebra, although we did from time to time show you some special ways of writing quantum-mechanical quantities and equations."
23240,We would like now to talk some more about some interesting and useful mathematical ways of describing quantum-mechanical things.
23241,"There are many ways of approaching the subject of quantum mechanics, and most books use a different approach from the one we have taken."
23242,As you go on to read other books you might not see right away the connections of what you will find in them to what we have been doing.
23243,"Although we will also be able to get a few useful results, the main purpose of this chapter is to tell you about some of the different ways of writing the same physics."
23244,Knowing them you should be able to understand better what other people are saying.
23245,Then someone came along and pointed out that all of the writing could be made much simpler by inventing the vector notation.
23246,It’s true that when you come down to figuring something out you often have to convert the vectors back to their components.
23247,But it’s generally much easier to see what’s going on when you work with vectors and also easier to do many of the calculations.
23248,The idea is useful because the laws of quantum mechanics can be written as algebraic equations in terms of these symbols.
23249,What does Eq.
23250,(20.2) mean?
23251,We define it this way.
23252,This is now just an algebraic equation.
23253,So Eq.
23254,(20.2) is a high-class way of writing Eq.
23255,(20.3).
23256,Actually it is a little more than that; something more is implied.
23257,In Eq.
23258,(20.2) we do not make any reference to a set of base states.
23259,Equation (20.3) is an image of Eq.
23260,(20.2) in terms of some set of base states.
23261,"But, as you know, you may use any set you wish."
23262,And this idea is implied in Eq.
23263,(20.2).
23264,The operator way of writing avoids making any particular choice.
23265,"Of course, when you want to get definite you have to choose some set."
23266,"When you make your choice, you use Eq."
23267,(20.3).
23268,So the operator equation (20.2) is a more abstract way of writing the algebraic equation (20.3).
23269,"When you want results, however, you will eventually have to give the components with respect to some set of axes."
23270,(20.2) means just the same as Eq.
23271,(20.3).
23272,(You should remember also that once you know a matrix for one particular set of base states you can always calculate the corresponding matrix that goes with any other base.
23273,You can transform the matrix from one “representation” to another.)
23274,The operator equation in (20.2) also allows a new way of thinking.
23275,Sometimes a “state” we get this way may be very peculiar—it may not represent any physical situation we are likely to encounter in nature.
23276,"(For instance, we may get a state that is not normalized to represent one electron.)"
23277,"In other words, we may at times get “states” that are mathematically artificial."
23278,"Such artificial “states” may still be useful, perhaps as the mid-point of some calculation."
23279,We have already shown you many examples of quantum-mechanical operators.
23280,It represents a “state” which is the difference of two states.
23281,One more example.
23282,They are quite different from algebraic operators which work on mathematical functions.
23283,"You can see why the same word is used in both cases, but you should keep in mind that the two kinds of operators are different."
23284,"Both kinds of operators are used in quantum mechanics and often in similar kinds of equations, as you will see a little later."
23285,When you are first learning the subject it is well to keep the distinction always in mind.
23286,"Later on, when you are more familiar with the subject, you will find that it is less important to keep any sharp distinction between the two kinds of operators."
23287,"You will, indeed, find that most books generally use the same notation for both!"
23288,We’ll go on now and look at some useful things you can do with operators.
23289,"But first, one special remark."
23290,Is there some meaning to the complex conjugate of this amplitude?
23291,"Many important operators of quantum mechanics have the special property that when you take the Hermitian adjoint, you get the same operator back."
23292,So far we have reminded you mainly of what you already know.
23293,Now we would like to discuss a new question.
23294,"How would you find the average energy of a system—say, an atom?"
23295,"Since the system does not have a definite energy, one measurement would give one energy, the same measurement on another atom in the same state would give a different energy, and so on."
23296,What would you get for the average of a whole series of energy measurements?
23297,But you may get a different number for each measurement.
23298,How are these probabilities related to the mean value of a whole sequence of energy measurements?
23299,"We continue for, say, a thousand measurements."
23300,When we are finished we add all the energies and divide by one thousand.
23301,That’s what we mean by the average.
23302,There’s also a short-cut to adding all the numbers.
23303,We are almost there.
23304,What we mean by the probability of something happening is just the number of times we expect it to happen divided by the total number of tries.
23305,A simple result.
23306,Our new formula for the average energy is not only pretty.
23307,"It is also useful, because now we don’t need to say anything about any particular set of base states."
23308,We don’t even have to know all of the possible energy levels.
23309,"Equation (20.19) can, incidentally, be extended to other physical measurements which you can express as an operator."
23310,Then all the arguments go through in the same way.
23311,We are asking for the special case of Eq.
23312,(20.19) applied to the coordinate representation.
23313,(16.50) and Eq.
23314,You can begin to see how we can go back and forth from the state-vector ideas to the wave-function ideas.
23315,The quantity in the braces of Eq.
23316,We should make one qualification on our results.
23317,Notice the similarity in form between Eq.
23318,(20.28) and Eq.
23319,(20.18).
23320,"There are, however, operators for which this is not true."
23321,For them you must work with the basic equations in (20.21) and (20.22).
23322,You can easily extend the derivation to three dimensions.
23323,With Eq.
23324,(20.30) we can calculate the average energy of an atomic state even without knowing its energy levels.
23325,All we need is the wave function.
23326,It’s an important law.
23327,We’ll tell you about one interesting application.
23328,"Suppose you want to know the ground-state energy of some system—say the helium atom, but it’s too hard to solve Schrödinger’s equation for the wave function, because there are too many variables."
23329,"Suppose, however, that you take a guess at the wave function—pick any function you like—and calculate the average energy."
23330,"That is, you use Eq."
23331,(20.29)—generalized to three dimensions-to find what the average energy would be if the atom were really in the state described by this wave function.
23332,This energy will certainly be higher than the ground-state energy which is the lowest possible energy the atom can have.3 Now pick another function and calculate its average energy.
23333,If it is lower than your first choice you are getting closer to the true ground-state energy.
23334,"If you keep on trying all sorts of artificial states you will be able to get lower and lower energies, which come closer and closer to the ground-state energy."
23335,"If you are clever, you will try some functions which have a few adjustable parameters."
23336,When you calculate the energy it will be expressed in terms of these parameters.
23337,"By varying the parameters to give the lowest possible energy, you are trying out a whole class of functions at once."
23338,Eventually you will find that it is harder and harder to get lower energies and you will begin to be convinced that you are fairly close to the lowest possible energy.
23339,"The helium atom has been solved in just this way—not by solving a differential equation, but by making up a special function with a lot of adjustable parameters which are eventually chosen to give the lowest possible value for the average energy."
23340,What is the average value of the position of an electron in an atom?
23341,What is the average?
23342,20–1.
23343,The electron is most likely to be found near the peak of the curve.
23344,"It is, in fact, just the center of gravity of the area under the curve."
23345,(20.28).
23346,(20.18).
23347,(20.34) agree with Eq.
23348,(20.33).
23349,"Now we would like to calculate the mean momentum of an electron—again, we’ll stick to one dimension."
23350,From Eq.
23351,(20.47).
23352,Now comes an interesting question.
23353,Let’s make clear what we mean.
23354,(20.46).
23355,(20.47) and proceed to evaluate the integral.
23356,"Well, let’s start by expanding Eq."
23357,"If we can find it, we can carry out the integral."
23358,We can find it in the following way.
23359,According to Eq.
23360,Suppose we start with Eq.
23361,(20.47) and again use Eq.
23362,"No, No!"
23363,That’s the whole problem.
23364,"However, some ingenious fellow discovered that the integral in (20.55) could be integrated by parts."
23365,(20.53).
23366,(20.52).
23367,(20.48) looks in the coordinate representation.
23368,Now you should begin to see an interesting pattern developing.
23369,You can easily extend the results to three dimensions.
23370,"Our general result is that for at least some quantum-mechanical operators, there are corresponding algebraic operators in the coordinate representation."
23371,We summarize our results so far—extended to three dimensions—in Table 20–1.
23372,We will now give a few illustrations of the use of these ideas.
23373,This equation is nice because it’s easy to remember if you haven’t forgotten your classical physics.
23374,This result has impressed people so much that they try to teach students all about classical physics before quantum mechanics.
23375,(We think differently!)
23376,But such parallels are often misleading.
23377,"For one thing, when you have operators, the order of various factors is important; but that is not true for the factors in a classical equation."
23378,We should show you that this is equivalent to our new definition.
23379,Let’s use this fact to show something else.
23380,(To keep things simple we’ll stick to one dimension.)
23381,"Everything holds together nicely, and many of the things we have been saying are consistent with each other."
23382,Let’s for fun look at another operation—the operation of orbital angular momentum.
23383,"That is, we want for the moment to disregard intrinsic angular momentum and think about only the orbital part."
23384,20–2.
23385,But notice.
23386,One of the fun parts of this operator business is that many classical equations get carried over into a quantum-mechanical form.
23387,Which ones don’t?
23388,"There had better be some that don’t come out right, because if everything did, then there would be nothing different about quantum mechanics."
23389,There would be no new physics.
23390,Here is one equation which is different.
23391,There is another very important commutation rule that has to do with angular momenta.
23392,It is interesting to notice that operators which do not commute can also occur in classical physics.
23393,We have already seen this when we have talked about rotation in space.
23394,"It is, in fact, just this property of space that is responsible for Eq."
23395,(20.75).
23396,Now we want to show you something else.
23397,How do averages change with time?
23398,Why should it?
23399,Certainly the average position of a particle could be moving.
23400,How does such a motion come out of Eq.
23401,"First, we know that the rate of change of a state is given by the Hamiltonian."
23402,(20.76).
23403,Let us try out Eq.
23404,(20.82) on some example to see whether it really makes sense.
23405,Exactly like classical mechanics.
23406,Another example.
23407,What is the rate of change of the average momentum of a state?
23408,Same game.
23409,"The right-hand side is the force, so we have derived Newton’s law!"
23410,But remember—these are the laws for the operators which give the average quantities.
23411,They do not describe what goes on in detail inside an atom.
23412,The history of this idea is also interesting.
23413,"Within a period of a few months in 1926, Heisenberg and Schrödinger independently found correct laws to describe atomic mechanics."
23414,"In our language he was using the energy-representation, with its matrices."
23415,Both Heisenberg’s matrix algebra and Schrödinger’s differential equation explained the hydrogen atom.
23416,A few months later Schrödinger was able to show that the two theories were equivalent—as we have seen here.
23417,But the two different mathematical forms of quantum mechanics were discovered independently.
23418,(There was no summary for this lecture.)
23419,This lecture is only for entertainment.
23420,"I would like to give the
lecture in a somewhat different style—just to see how it works
out."
23421,"It’s not a part of the course—in the sense that it is not
supposed to be a last minute effort to teach you something new."
23422,"But,
rather, I imagine that I’m giving a seminar or research report on the
subject to a more advanced audience, to people who have already been
educated in quantum mechanics."
23423,"The main difference between a seminar
and a regular lecture is that the seminar speaker does not carry out
all the steps, or all the algebra."
23424,"He says: “If you do such and such,
this is what comes out,” instead of showing all of the details."
23425,"So in
this lecture I’ll describe the ideas all the way along but just give
you the results of the computations."
23426,"You should realize that
you’re not supposed to understand everything immediately, but believe
(more or less) that things would come out if you went through the
steps."
23427,"All that aside, this is a subject I want to talk about."
23428,"It is
recent and modern and would be a perfectly legitimate talk to give at
a research seminar."
23429,"My subject is the Schrödinger equation in a
classical setting—the case of superconductivity."
23430,"Ordinarily, the wave function which appears in the Schrödinger
equation applies to only one or two particles."
23431,"And the wave function
itself is not something that has a classical meaning—unlike the
electric field, or the vector potential, or things of that kind."
23432,"The
wave function for a single particle is a “field”—in the
sense that it is a function of position—but it does not generally
have a classical significance."
23433,"Nevertheless, there are some situations
in which a quantum mechanical wave function does have classical
significance, and they are the ones I would like to take up."
23434,"The
peculiar quantum mechanical behavior of matter on a small scale
doesn’t usually make itself felt on a large scale except in the
standard way that it produces Newton’s laws—the laws of the
so-called classical mechanics."
23435,"But there are certain situations in
which the peculiarities of quantum mechanics can come out in a special
way on a large scale."
23436,"At low temperatures, when the energy of a system has been reduced
very, very low, instead of a large number of states being involved,
only a very, very small number of states near the ground state are
involved."
23437,"Under those circumstances the quantum mechanical character
of that ground state can appear on a macroscopic scale."
23438,"It is the
purpose of this lecture to show a connection between quantum mechanics
and large-scale effects—not the usual discussion of the way that
quantum mechanics reproduces Newtonian mechanics on the average, but a
special situation in which quantum mechanics will produce its own
characteristic effects on a large or “macroscopic” scale."
23439,"I will begin by reminding you of some of the properties of the
Schrödinger equation.1 I want to describe the behavior of a particle
in a magnetic field using the Schrödinger equation, because the
superconductive phenomena are involved with magnetic fields."
23440,"An
external magnetic field is described by a vector potential, and the
problem is: what are the laws of quantum mechanics in a vector
potential?"
23441,"The principle that describes the behavior of quantum
mechanics in a vector potential is very simple."
23442,"The amplitude that a
particle goes from one place to another along a certain route when
there’s a field present is the same as the amplitude that it would go
along the same route when there’s no field, multiplied by the
exponential of the line integral of the vector potential, times the
electric charge divided by
Planck’s constant2 (see Fig."
23443,There are three pieces.
23444,"However, in doing so in a vector
potential, the phase of the amplitude must be shifted according to the
rule in Eq."
23445,(21.1).
23446,"Since the
electron is jumping backwards, I showed this phase shift with a minus
sign."
23447,That gives the second piece.
23448,That gives the third piece.
23449,"(21.4) will approach the behavior of an electron in
free space."
23450,Now this horrible combination of things looks quite complicated.
23451,"(21.6) is the same as the first
part of Eq."
23452,(21.3).
23453,"(The origin of the potential energy
term is well known, so I haven’t bothered to include it in this
discussion.)"
23454,The proposition of Eq.
23455,Now I turn to a second point.
23456,"An important part of the Schrödinger
equation for a single particle is the idea that the probability to
find the particle at a position is given by the absolute square of the
wave function."
23457,"It is also characteristic of the quantum mechanics that
probability is conserved in a local sense."
23458,"When the probability of
finding the electron somewhere decreases, while the probability of the
electron being elsewhere increases (keeping the total probability
unchanged), something must be going on in between."
23459,"In other words, the
electron has a continuity in the sense that if the probability
decreases at one place and builds up at another place, there must be
some kind of flow between."
23460,"If you put a wall, for example, in the way,
it will have an influence and the probabilities will not be the
same."
23461,"So the conservation of probability alone is not the complete
statement of the conservation law, just as the conservation of energy
alone is not as deep and important as the local conservation of
energy.6 If energy
is disappearing, there must be a flow of energy to correspond."
23462,"In the
same way, we would like to find a “current” of probability such that
if there is any change in the probability density (the probability of
being found in a unit volume), it can be considered as coming from an
inflow or an outflow due to some current."
23463,Is there such a current?
23464,"And it turns
out that what is left can indeed be written as a perfect
divergence."
23465,"It is
some quantity plus its own complex conjugate, so the whole thing is
real—as it ought to be."
23466,"I could
write the current in Eq."
23467,(21.8).
23468,"Equation (21.11) shows that the probability is conserved
locally."
23469,"If a particle disappears from one region it cannot appear in
another without something going on in between."
23470,"Imagine that the first
region is surrounded by a closed surface far enough out that there is
zero probability to find the electron at the surface."
23471,"Only if some of the probability approaches the boundary
can some of it leak out."
23472,"We can say that it only gets out by moving
through the surface—and that is local conservation."
23473,"The equation for the current is rather interesting, and sometimes
causes a certain amount of worry."
23474,"You would think the current would be
something like the density of particles times the velocity."
23475,"And
each term in Eq."
23476,"The two possibilities differ by
the vector potential."
23477,"I’d like to make a brief digression to show you what this is all
about—why there must be something like Eq."
23478,"(21.15) in
the quantum mechanics."
23479,"The wave function changes with time according
to the Schrödinger equation in Eq."
23480,(21.3).
23481,"If I would
suddenly change the vector potential, the wave function wouldn’t
change at the first instant; only its rate of change changes."
23482,"Now
think of what would happen in the following circumstance."
23483,21–2.
23484,"And there is a charged
particle sitting nearby."
23485,"Suppose this flux nearly instantaneously
builds up from zero to something."
23486,"I start with zero vector potential
and then I turn on a vector potential."
23487,"So the
gradient is also unchanged."
23488,"But remember what happens electrically when I suddenly turn on a
flux."
23489,"When Schrödinger first
discovered his equation he discovered the conservation law of
Eq."
23490,(21.8) as a consequence of his equation.
23491,"He
soon found on doing a number of problems that it didn’t work out quite
right."
23492,"It was at this point that Born
made an essential contribution to our ideas regarding quantum mechanics."
23493,"That whole idea is due
to Born."
23494,"The electron is either here, or there, or somewhere else, but
wherever it is, it is a point charge."
23495,"On the other hand, think of a
situation in which there are an enormous number of particles in
exactly the same state, a very large number of them with exactly the
same wave function."
23496,Then what?
23497,"So in the situation in which we can have very many particles in
exactly the same state, there is possible a new physical
interpretation of the wave functions."
23498,"The charge density and the
electric current can be calculated directly from the wave functions
and the wave functions take on a physical meaning which extends into
classical, macroscopic situations."
23499,Something similar can happen with neutral particles.
23500,"When we have the
wave function of a single photon, it is the amplitude to find a photon
somewhere."
23501,"Although we haven’t ever written it down there is an
equation for the photon wave function analogous to the Schrödinger
equation for the electron."
23502,"The wave
function turns out to be just the vector potential."
23503,"The quantum
physics is the same thing as the classical physics because photons are
noninteracting Bose particles and many of them can be in the same
state—as you know, they like to be in the same state."
23504,"The
moment that you have billions in the same state (that is, in the same
electromagnetic wave), you can measure the wave function, which is the
vector potential, directly."
23505,"Of course, it worked historically the
other way."
23506,"The first observations were on situations with many photons
in the same state, and so we were able to discover the correct
equation for a single photon by observing directly with our hands on a
macroscopic level the nature of the wave function."
23507,"Now the trouble with the electron is that you cannot put more than one
in the same state."
23508,"Therefore, it was long believed that the wave
function of the Schrödinger equation would never have a macroscopic
representation analogous to the macroscopic representation of the
amplitude for photons."
23509,"On the other hand, it is now realized that the
phenomenon of superconductivity presents us with just this situation."
23510,"As you know, very many metals become superconducting below a certain
temperature9—the temperature is different for different metals."
23511,"When you
reduce the temperature sufficiently the metals conduct electricity
without any resistance."
23512,"This phenomenon has been observed for a very
large number of metals but not for all, and the theory of this
phenomenon has caused a great deal of difficulty."
23513,"It took a very long
time to understand what was going on inside of superconductors, and I
will only describe enough of it for our present purposes."
23514,"It turns out
that due to the interactions of the electrons with the vibrations of the
atoms in the lattice, there is a small net effective attraction
between the electrons."
23515,"The result is that the electrons form together,
if I may speak very qualitatively and crudely, bound pairs."
23516,Now you know that a single electron is a Fermi particle.
23517,"But a bound
pair would act as a Bose particle, because if I exchange both
electrons in a pair I change the sign of the wave function twice, and
that means that I don’t change anything."
23518,"A pair is a Bose
particle."
23519,"The energy of pairing—that is, the net attraction—is very, very
weak."
23520,"Only a tiny temperature is needed to throw the electrons apart
by thermal agitation, and convert them back to “normal”
electrons."
23521,"But when you make the temperature sufficiently low that
they have to do their very best to get into the absolutely lowest
state; then they do collect in pairs."
23522,"I don’t wish you to imagine that the pairs are really held together very
closely like a point particle."
23523,"As a matter of fact, one of the great
difficulties of understanding this phenomenon originally was that that is
not the way things are."
23524,"The two electrons which form the pair are really
spread over a considerable distance; and the mean distance between pairs
is relatively smaller than the size of a single pair."
23525,"Several pairs are
occupying the same space at the same time."
23526,"Both the reason why electrons
in a metal form pairs and an estimate of the energy given up in forming
a pair have been a triumph of recent times."
23527,"This fundamental point in
the theory of superconductivity was first explained in the theory of
Bardeen, Cooper, and Schrieffer,10 but that is not the subject of
this seminar."
23528,"We will accept, however, the idea that the electrons do,
in some manner or other, work in pairs, that we can think of these pairs
as behaving more or less like particles, and that we can therefore talk
about the wave function for a “pair.”"
23529,"Now the Schrödinger equation for the pair will be more or less like
Eq."
23530,(21.3).
23531,"Nor should we
think that if we go to very high frequencies (or short wavelengths),
this is exactly the right form, because the kinetic energy that
corresponds to very rapidly varying wave functions may be so great as
to break up the pairs."
23532,"At finite temperatures there are always a few
pairs which are broken up according to the usual Boltzmann theory."
23533,"The electrons that are not bound in pairs
are called “normal” electrons and will move around in the crystal in
the ordinary way."
23534,"I will, however, consider only the situation at
essentially zero temperature—or, in any case, I will disregard the
complications produced by those electrons which are not in pairs."
23535,"Since electron pairs are bosons, when there are a lot of them in a
given state there is an especially large amplitude for other pairs to
go to the same state."
23536,"So nearly all of the pairs will be locked down
at the lowest energy in exactly the same state—it won’t be
easy to get one of them into another state."
23537,"So we would expect all the pairs to be moving in the same
state."
23538,What then will our theory look like?
23539,"(Any complex
function can, of course, be written this way.)"
23540,"The absolute
phase is not observable, but if the gradient of the phase is known
everywhere, the phase is known except for a constant."
23541,"You can define
the phase at one point, and then the phase everywhere is determined."
23542,Now we can describe some of the phenomena of superconductivity.
23543,"First,
there is no electrical resistance."
23544,"There’s no resistance because all
the electrons are collectively in the same state."
23545,"In the ordinary flow
of current you knock one electron or the other out of the regular
flow, gradually deteriorating the general momentum."
23546,"But here to get
one electron away from what all the others are doing is very hard
because of the tendency of all Bose particles to go in the same
state."
23547,"A current once started, just keeps on going forever."
23548,"It’s also easy to understand that if you have a piece of metal in the
superconducting state and turn on a magnetic field which isn’t too
strong (we won’t go into the details of how strong), the magnetic
field can’t penetrate the metal."
23549,"If, as you build up the magnetic
field, any of it were to build up inside the metal, there would be a
rate of change of flux which would produce an electric field, and an
electric field would immediately generate a current which, by Lenz’s
law, would oppose the flux."
23550,"Since all the electrons will move
together, an infinitesimal electric field will generate enough current
to oppose completely any applied magnetic field."
23551,"So if you turn the
field on after you’ve cooled a metal to the superconducting state, it
will be excluded."
23552,"Even more interesting is a related phenomenon discovered experimentally
by Meissner.11 If you have a piece
of the metal at a high temperature (so that it is a normal conductor)
and establish a magnetic field through it, and then you lower the
temperature below the critical temperature (where the metal becomes a
superconductor), the field is expelled."
23553,"In other words, it starts
up its own current—and in just the right amount to push the field out."
23554,"We can see the reason for that in the equations, and I’d like to
explain how."
23555,"Suppose that we take a piece of superconducting material
which is in one lump."
23556,"Then in a steady situation of any kind the
divergence of the current must be zero because there’s no place for it
to go."
23557,"(I should explain why choosing this convention doesn’t
mean any loss of generality, but I don’t want to take the time.)"
23558,Taking the divergence of Eq.
23559,One moment.
23560,I forgot to mention an important point.
23561,"There is
a background of positive charge in this metal due to the atomic ions
of the lattice."
23562,Now we can use Eq.
23563,"(21.20) in the equations of
electromagnetism to solve for the fields."
23564,"For example, in one dimension Eq."
23565,"These solutions mean that the vector potential must
decrease exponentially as you go from the surface into the
material."
23566,(It can’t increase because there would be a blow up.)
23567,"The entire remainder of the interior is free of field,
as sketched in Fig."
23568,21–3.
23569,"This is the explanation of the Meissner
effect."
23570,"That gives you the
order of magnitude."
23571,"The London equation (21.21) was proposed to account for
the observed facts of superconductivity including the
Meissner effect."
23572,"In recent times, however, there have been some even more
dramatic predictions."
23573,"One prediction made by London was so peculiar
that nobody paid much attention to it until recently."
23574,"I will now
discuss it."
23575,"The sequence of
events is sketched in Fig."
23576,21–4.
23577,"In the normal state there will be a
field in the body of the ring as sketched in part (a) of the
figure."
23578,"When the ring is made superconducting, the field is forced
outside of the material (as we have just seen)."
